Trade Date,vix_call_vol,vix_put_vol,vix_call_oi,vix_put_oi,vix_pc_ratio,spx_call_vol,spx_put_vol,spx_call_oi,spx_put_oi,spx_pc_ratio,equity_call_vol,equity_put_vol,equity_call_oi,equity_put_oi,equity_pc_ratio,source,source_ts,complete
2026-08-06,524897,228840,8772775,3369262,0.436,2112711,2431967,10134418,13641587,1.151,2088601.0,1185562.0,264756300.0,167842952.0,0.568,daily_options,,
2026-08-07,526678,150797,9110351,3516499,0.286,2170850,2450832,10131026,13722831,1.129,2964835.0,1599633.0,269160659.0,170456543.0,0.54,daily_options,,
2026-08-10,412645,139612,9191200,3535574,0.338,1829765,2070924,10045048,13561789,1.132,2393068.0,1469985.0,260317832.0,164592702.0,0.614,daily_options,,
2026-08-11,723302,145435,9373964,3578239,0.201,2019037,2312374,10119843,13649484,1.145,1868704.0,1172970.0,265052074.0,167410240.0,0.628,daily_options,,
2026-08-12,504633,269962,9636842,3622332,0.535,1855325,2119578,10234572,13883959,1.142,2221282.0,1364951.0,269137438.0,170327145.0,0.614,daily_options,,
2026-08-13,389081,238272,9806233,3682631,0.612,2447947,2366063,10343437,14085331,0.967,2587098.0,1533495.0,272526356.0,172742192.0,0.593,daily_options,,
2026-08-14,566694,275653,9931255,3721168,0.486,1821476,2042366,10444147,14246273,1.121,3168538.0,1646535.0,276717539.0,175332696.0,0.52,daily_options,,
2026-08-17,742404,312664,10266460,3838378,0.421,1662205,2127543,10373392,14083672,1.28,2162367.0,1394901.0,269572780.0,170549133.0,0.645,daily_options,,
2026-08-18,545518,242049,10679378,3920297,0.444,1790324,2346874,10388707,14209249,1.311,2439784.0,1572047.0,274018903.0,173445220.0,0.644,daily_options,,
2026-08-19,556997,166001,10969150,3986281,0.298,2085680,2370051,10475343,14506077,1.136,2916050.0,1504733.0,277604940.0,176151600.0,0.516,daily_options,,
2026-08-20,555580,109593,7633254,2805332,0.197,2328836,2473864,10552190,14611268,1.062,2755261.0,1584740.0,281198545.0,178168237.0,0.575,daily_options,,
2026-08-21,1054043,223879,8038679,2877892,0.212,2077932,2347470,10737825,14769009,1.13,3535632.0,1811166.0,284976206.0,180540705.0,0.512,daily_options,,
2026-08-24,423103,115258,8213467,2993443,0.272,1870934,2133386,9369850,13334109,1.14,2091611.0,1422757.0,244012182.0,154384204.0,0.68,daily_options,,
2026-08-25,449432,195443,8288589,3075723,0.435,1809308,1987176,9434606,13433023,1.098,1755910.0,1009521.0,248329770.0,157471266.0,0.575,daily_options,,
2026-08-26,364674,122435,8516767,3188718,0.336,1959601,2059391,9516896,13589236,1.051,1884970.0,1200896.0,253743948.0,160489153.0,0.637,daily_options,,
2026-08-27,899323,374871,8558454,3173461,0.417,2339645,2578569,9517785,13603321,1.102,3100690.0,1209707.0,257391798.0,163189227.0,0.39,daily_options,,
2026-08-28,626993,153889,8901725,3334549,0.245,2587157,2986432,9637561,13772929,1.154,3055639.0,1880977.0,262728352.0,165989460.0,0.616,daily_options,,
2026-08-31,451762,115163,9196895,3415209,0.255,2143908,2251095,9623771,13621857,1.05,2073559.0,1459658.0,255411088.0,161666690.0,0.704,daily_options,,
2026-09-01,641475,216596,9248019,3486606,0.338,2545314,3068026,9568383,13469478,1.205,2149891.0,1433085.0,259280029.0,164145225.0,0.667,daily_options,,
2026-09-02,459791,151359,9563660,3563004,0.329,2172718,2282579,9683184,13842336,1.051,2524943.0,1401404.0,263219199.0,167246833.0,0.555,daily_options,,
2026-09-03,370014,176649,9713326,3560345,0.477,2762278,2739751,9794350,13908229,0.992,3111669.0,1473628.0,266407629.0,169101703.0,0.474,daily_options,,
2026-09-04,909887,190645,9827097,3653877,0.21,2235394,2560804,9910658,14038493,1.146,3189180.0,1845989.0,271132909.0,171974950.0,0.579,daily_options,,
2026-09-08,741857,220893,10317931,3719021,0.298,2235404,2691692,9885539,13911380,1.204,2695317.0,1297497.0,265027885.0,167707226.0,0.481,daily_options,,
2026-09-09,796773,281071,10491822,3739274,0.353,2206837,2509517,10059293,14206202,1.137,2750934.0,1845750.0,270456553.0,170384946.0,0.671,daily_options,,
2026-09-10,1233609,321465,10688163,3748944,0.261,2347078,2684211,10158140,14376404,1.144,2380020.0,1431502.0,273214563.0,172711134.0,0.601,daily_options,,
2026-09-11,734298,314796,11042242,3784178,0.429,2288638,2818113,10316448,14498871,1.231,2927213.0,1695334.0,277235804.0,174969798.0,0.579,daily_options,,
2026-09-14,680319,268189,11268306,3758122,0.394,2554036,2827053,10306421,14447089,1.107,2581495.0,1716826.0,271096494.0,171116448.0,0.665,daily_options,,
2026-09-15,615274,202076,11420744,3688067,0.328,2180309,2615622,10425740,14630397,1.2,2198898.0,1239484.0,275229282.0,173508095.0,0.564,daily_options,,
2026-09-16,975592,386157,11666942,3754313,0.396,2223324,2849186,10529483,14757221,1.281,2335804.0,1614247.0,278901558.0,175826181.0,0.691,daily_options,,
2026-09-17,422031,211602,8411243,2443215,0.501,2391117,2740454,10771508,15152137,1.146,2746490.0,1432442.0,281821801.0,177592076.0,0.522,daily_options,,
2026-09-18,540186,112608,8618822,2572095,0.208,2471836,2796421,10980686,15413480,1.131,3493359.0,2036627.0,286729196.0,179776127.0,0.583,daily_options,,
2026-09-21,449179,264163,8887033,2633597,0.588,3583911,2914326,8546566,12169660,0.813,3144451.0,1663575.0,237472511.0,150269312.0,0.529,daily_options,,
2026-09-22,613819,288602,9028460,2644303,0.47,2340038,2426521,8804188,12414011,1.037,2460777.0,1145629.0,243549717.0,153264773.0,0.466,daily_options,,
2026-09-23,537359,192695,9279652,2769337,0.359,2598775,3063839,8922773,12725417,1.179,2647370.0,1205941.0,249089090.0,156601610.0,0.456,daily_options,,
2026-09-24,528525,210092,9633218,2951393,0.398,2588947,2505517,9348538,13240363,0.968,,,,,,json,2026-09-25T05:44:17-07:00,True
