sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
data center - new IPP,SMR,2026-03-30,NA,NA,110.06,-95.0%,-64.0%,534.0%,-32.0%
,,,,,,,,,
data center - IPP,CEG,2026-03-30,17.20,40.36,4.03,0.0%,-19.0%,-24.0%,-49.0%
data center - IPP,VST,2026-03-30,16.62,67.40,2.93,-68.0%,-32.0%,-122.0%,-53.0%
data center - IPP,NRG,2026-03-30,14.73,35.77,0.99,13.0%,-91.0%,-11.0%,-92.0%
,,,,,,,,,
data center - uranium,CCJ,2026-03-30,70.52,105.88,17.98,2.0%,158.0%,-4.0%,47.0%
data center - uranium,UEC,2026-03-30,NA,NA,303.84,-59.0%,19.0%,730.0%,36.0%
data center - uranium,LEU,2026-03-30,42.81,40.42,7.39,-4.0%,-55.0%,-67.0%,-67.0%
,,,,,,,,,
data center - HVAC,TT,2026-03-30,21.47,31.12,4.19,6.0%,-1.0%,2.0%,-2.0%
data center - HVAC,CARR,2026-03-30,16.39,31.83,2.09,-6.0%,-99.0%,-54.0%,-93.0%
data center - HVAC,JCI,2026-03-30,21.82,23.81,3.23,7.0%,74.0%,40.0%,25.0%
data center - HVAC,SPXC,2026-03-30,19.26,37.84,4.20,19.0%,35.0%,23.0%,38.0%
,,,,,,,,,
material - steel/copper/aluminum/lithium,NUE,2026-03-30,10.39,21.86,1.15,9.0%,28.0%,17.0%,32.0%
material - steel/copper/aluminum/lithium,STLD,2026-03-30,14.04,21.47,1.37,14.0%,27.0%,26.0%,28.0%
material - steel/copper/aluminum/lithium,CLF,2026-03-30,NA,NA,0.25,0.0%,-23.0%,-118.0%,-46.0%
material - steel/copper/aluminum/lithium,BHP,2026-03-30,6.96,17.12,3.24,2.0%,190.0%,49.0%,505.0%
material - steel/copper/aluminum/lithium,RIO,2026-03-30,5.95,14.57,1.93,,,,
material - steel/copper/aluminum/lithium,VALE,2026-03-30,5.51,28.02,1.68,9.0%,66.0%,41.0%,387.0%
material - steel/copper/aluminum/lithium,SCCO,2026-03-30,16.86,30.66,9.72,39.0%,64.0%,54.0%,65.0%
