,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP)
184,NOC,2026-01-08,21.21,2.06
185,GD,2026-01-08,22.78,1.84
186,HII,2026-01-08,26.15,1.24
187,CW,2026-01-08,47.46,6.36
188,BWXT,2026-01-08,57.78,5.77
189,LDOS,2026-01-08,18.21,1.44
190,BAH,2026-01-08,14.39,0.98
191,CACI,2026-01-08,25.79,1.46
192,BA,2026-01-08,NA,2.20
193,GE,2026-01-08,41.92,7.55
194,HWM,2026-01-08,58.94,10.59
195,TDG,2026-01-08,42.92,8.78
196,HEI,2026-01-08,71.55,9.40
197,CRS,2026-01-08,39.30,5.53
198,FTAI,2026-01-08,54.61,10.41
199,MSI,2026-01-08,30.65,5.62
200,AXON,2026-01-08,194.04,18.91
201,TSLA,2026-01-08,291.19,15.16
202,RACE,2026-01-08,37.45,8.43
203,GM,2026-01-08,17.11,0.42
204,F,2026-01-08,12.35,0.30
205,CRPT,2026-01-08,NA,NA
206,DHI,2026-01-08,12.58,1.24
207,TOL,2026-01-08,10.00,1.17
208,KBH,2026-01-08,9.36,0.60
209,BLD,2026-01-08,22.40,2.36
210,IBP,2026-01-08,29.48,2.50
211,HD,2026-01-08,24.52,2.15
212,LOW,2026-01-08,21.24,1.71
213,BLDR,2026-01-08,21.18,0.79
214,W,2026-01-08,NA,1.21
215,WSM,2026-01-08,21.75,2.98
216,MAR,2026-01-08,34.32,3.36
217,HLT,2026-01-08,43.23,5.91
218,H,2026-01-08,NA,2.31
219,DAL,2026-01-08,10.05,0.74
220,UAL,2026-01-08,11.57,0.64
221,LUV,2026-01-08,65.41,0.81
222,AAL,2026-01-08,18.91,0.19
223,LVS,2026-01-08,27.93,3.41
224,WYNN,2026-01-08,26.08,1.73
225,MGM,2026-01-08,220.65,0.56
226,CZR,2026-01-08,NA,0.45
227,BKNG,2026-01-08,35.39,6.74
228,ABNB,2026-01-08,32.81,7.12
229,RCL,2026-01-08,20.55,4.76
230,EXPE,2026-01-08,28.83,2.57
231,MMYR,2026-01-08,NA,NA
232,YOU,2026-01-08,19.10,5.60
233,FLUT,2026-01-08,NA,2.47
234,DKNG,2026-01-08,NA,5.87
235,MCD,2026-01-08,26.34,8.38
236,SBUX,2026-01-08,54.12,2.70
237,CMG,2026-01-08,34.53,4.40
238,DRI,2026-01-08,21.22,1.85
239,DPZ,2026-01-08,23.76,2.83
