sector	ticker	date	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
TMT - SAAS	NOW	2026-01-16	76.92	10.43	22.0%	34.0%	37.0%	16.0%
TMT - SAAS	ADBE	2026-01-16	17.74	5.22	10.0%	14.0%	8.0%	10.0%
TMT - SAAS	INTU	2026-01-16	37.30	7.80	18.0%	163.0%	54.0%	126.0%
TMT - SAAS	ADP	2026-01-16	25.71	5.04	7.0%	6.0%	5.0%	6.0%
TMT - SAAS	WDAY	2026-01-16	78.69	5.35	13.0%	49.0%	48.0%	31.0%
TMT - SAAS	ADSK	2026-01-16	51.23	8.14	18.0%	33.0%	3.0%	25.0%
TMT - SAAS	TEAM	2026-01-16	NA	5.73	21.0%	87.0%	55.0%	-58.0%
TMT - SAAS	HUBS	2026-01-16	NA	5.51	21.0%	117.0%	192.0%	103.0%
TMT - SAAS	TWLO	2026-01-16	284.66	3.67	15.0%	-995.0%	78.0%	-483.0%
TMT - SAAS	ZM	2026-01-16	15.70	4.98	4.0%	183.0%	59.0%	196.0%
TMT - SAAS	DOCU	2026-01-16	39.75	3.60	8.0%	33.0%	34.0%	34.0%
TMT - SAAS	BILL	2026-01-16	NA	3.11	10.0%	-128.0%	-29.0%	-133.0%
TMT - SAAS	GDDY	2026-01-16	17.94	2.89	10.0%	21.0%	15.0%	10.0%
TMT - SAAS	WIX	2026-01-16	34.84	2.29	14.0%	-61.0%	7.0%	-102.0%
TMT - SAAS	PATH	2026-01-16	33.86	4.94	16.0%	-196.0%	-149.0%	-1967.0%
								
CN	BABA	2026-01-16	22.81	2.65	5.0%	-52.0%	-67.0%	-52.0%
CN	NIO	2026-01-16	NA	0.98	17.0%	-32.0%		-29.0%
								
Fin - bank	JPM	2026-01-16	15.57	3.03	N/A	-1.0%	N/A	-7.0%
Fin - bank	BAC	2026-01-16	13.82	1.99	N/A	35.0%	N/A	14.0%
Fin - bank	C	2026-01-16	16.90	1.23	N/A	0.0%	N/A	-16.0%
Fin - bank	BK	2026-01-16	16.39	2.06	N/A	25.0%	N/A	26.0%
Fin - bank	MS	2026-01-16	18.55	2.51	N/A	17.0%	N/A	19.0%
Fin - bank	GS	2026-01-16	18.74	2.37	N/A	11.0%	N/A	12.0%
								
Fin - credit	AXP	2026-01-16	24.52	3.20	10.0%	19.0%	N/A	16.0%
Fin - credit	COF	2026-01-16	101.06	2.41	N/A	98.0%	N/A	82.0%
Fin - credit	AFRM	2026-01-16	107.70	7.62	34.0%	-184.0%	N/A	-181.0%
Fin - credit	KLAR	2026-01-16	NA	6.42	28.0%	-680.0%	-216.0%	-628.0%
Fin - credit	SOFI	2026-01-16	47.23	7.39	28.0%	133.0%	N/A	129.0%
Fin - credit	UPST	2026-01-16	210.69	4.83	71.0%	-576.0%	-175.0%	-570.0%
Fin - credit	FICO	2026-01-16	59.03	18.66	14.0%	18.0%	25.0%	14.0%
								
Fin - payment	V	2026-01-16	32.51	15.70	12.0%	-2.0%	11.0%	-4.0%
Fin - payment	MA	2026-01-16	34.52	15.39	17.0%	29.0%	21.0%	20.0%
Fin - payment	FISV	2026-01-16	10.26	1.69	1.0%	-24.0%	-15.0%	40.0%
Fin - payment	PYPL	2026-01-16	11.38	1.61	8.0%	17.0%	9.0%	24.0%
Fin - payment	XYZ	2026-01-16	13.23	1.67	2.0%	86.0%	28.0%	63.0%
Fin - payment	TOST	2026-01-16	77.08	3.37	25.0%	82.0%	115.0%	88.0%
								
Fin - broker	SCHW	2026-01-16	24.37	6.80	7.0%	64.0%	N/A	75.0%
Fin - broker	IBKR	2026-01-16	35.41	3.24	15.0%	44.0%	N/A	43.0%
Fin - broker	HOOD	2026-01-16	45.16	23.15	99.0%	314.0%	N/A	271.0%
Fin - broker	COIN	2026-01-16	20.89	7.45	22.0%	632.0%	N/A	473.0%
								
Fin - asset manage	BLK	2026-01-16	33.18	7.60	26.0%	-24.0%	N/A	-33.0%
Fin - asset manage	BX	2026-01-16	46.91	14.25	41.0%	-20.0%	N/A	-20.0%
Fin - asset manage	KKR	2026-01-16	56.19	6.64	-2.0%	34.0%	N/A	43.0%
Fin - asset manage	BN	2026-01-16	133.91	1.54	-7.0%	-83.0%	N/A	743.0%
Fin - asset manage	APO	2026-01-16	21.42	3.01	26.0%	39.0%	N/A	120.0%
Fin - asset manage	SSNC	2026-01-16	25.49	3.40	7.0%	13.0%	9.0%	28.0%
Fin - asset manage	CWAN	2026-01-16	15.85	11.08	77.0%	-334.0%	236.0%	-385.0%
								
