sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
material - rare earth(永磁体)	USAR	2026-02-14	NA	NA	NA		-10497.0%	712.0%	-11227.0%
material - rare earth(永磁体)	EMAT	2026-02-14	NA	NA	NA		975.0%	104.0%	450.0%
material - rare earth(永磁体)	METC	2026-02-14	27.73	NA	1.82	-28.0%	9128.0%	-85.0%	5446.0%
material - rare earth(永磁体)	CRML	2026-02-14	NA	NA	NA				
									
chips	QCOM	2026-02-14	11.12	29.07	3.35	5.0%	-2.0%	-6.0%	-6.0%
chips	INTC	2026-02-14	21.36	NA	4.42	-4.0%	-44.0%	23.0%	369.0%
chips	ARM	2026-02-14	118.37	166.93	28.48	26.0%	-15.0%	14.0%	-12.0%
									
robotic	MOG-A	2026-02-14	20.84	40.15	2.54	21.0%	48.0%	27.0%	48.0%
robotic	ALNT	2026-02-14	19.02	59.66	2.12	11.0%	207.0%	46.0%	209.0%
robotic	ROK	2026-02-14	25.36	45.12	5.17	12.0%	61.0%	6.0%	66.0%
robotic	SNPS	2026-02-14	49.67	54.48	11.86	38.0%	60.0%	38.0%	-60.0%
robotic	SYM	2026-02-14	NA	NA	13.84	29.0%	-218.0%	-266.0%	-175.0%
									
aerospace - aftermarket	GE	2026-02-14	35.55	38.75	7.21	18.0%	24.0%	1.0%	33.0%
aerospace - aftermarket	FTAI	2026-02-14	32.89	64.00	12.20	42.0%	54.0%	20.0%	46.0%
aerospace - aftermarket	HEI	2026-02-14	35.15	67.81	8.84	19.0%	35.0%	9.0%	35.0%
aerospace - aftermarket	HWM	2026-02-14	42.60	67.37	12.16	15.0%	10.0%	23.0%	18.0%
aerospace - aftermarket	PH	2026-02-14	25.68	36.54	6.18	9.0%	-9.0%	13.0%	-11.0%
aerospace - aftermarket	TDG	2026-02-14	21.49	41.36	7.98	14.0%	-8.0%	8.0%	-13.0%
aerospace - aftermarket	CRS	2026-02-14	26.04	44.12	6.43	8.0%	24.0%	24.0%	25.0%
aerospace - aftermarket	ATI	2026-02-14	25.86	50.46	4.26	0.0%	-30.0%	9.0%	-30.0%
aerospace - aftermarket	BA	2026-02-14	NA	128.15	2.13	57.0%	-303.0%	-93.0%	-307.0%
									
quatum	IBM	2026-02-14	16.44	23.54	3.63	12.0%	25.0%	7.0%	92.0%
