sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
aerospace - & defense,CACI,2026-01-20,27.78,1.57,11.0%,7.0%,24.0%,4.0%
,,,,,,,,
chips,QCOM,2026-01-20,31.50,3.73,10.0%,14.0%,6.0%,-207.0%
chips,INTC,2026-01-20,4581.13,4.53,3.0%,-150.0%,2075.0%,-124.0%
chips,ARM,2026-01-20,137.63,25.77,34.0%,372.0%,102.0%,122.0%
,,,,,,,,
robotic,PH,2026-01-20,33.11,5.86,4.0%,19.0%,8.0%,16.0%
robotic,ALNT,2026-01-20,54.75,1.94,11.0%,207.0%,46.0%,209.0%
robotic,ROK,2026-01-20,52.74,5.44,14.0%,-77.0%,38.0%,-42.0%
robotic,SNPS,2026-01-20,63.68,13.86,38.0%,60.0%,38.0%,-60.0%
robotic,SYM,2026-01-20,NA,16.89,7.0%,-142.0%,-115.0%,-173.0%
robotic,ATI,2026-01-20,39.76,3.65,7.0%,26.0%,15.0%,33.0%
,,,,,,,,
material - rare earth,MP,2026-01-20,NA,52.07,-15.0%,68.0%,82.0%,64.0%
material - rare earth,CLF,2026-01-20,NA,0.43,4.0%,1.0%,243.0%,4.0%
material - rare earth,CRML,2026-01-20,NA,NA,N/A,N/A,N/A,N/A
,,,,,,,,
material - aluminum/copper/lithium,AA,2026-01-20,14.11,1.23,3.0%,-9.0%,-51.0%,158.0%
material - aluminum/copper/lithium,SCCO,2026-01-20,40.05,12.37,15.0%,21.0%,20.0%,24.0%
material - aluminum/copper/lithium,ALB,2026-01-20,NA,4.11,-3.0%,-80.0%,-215.0%,-82.0%
material - aluminum/copper/lithium,LAC,2026-01-20,NA,NA,,2371.0%,69.0%,2353.0%
,,,,,,,,
quatum,IBM,2026-01-20,34.85,4.16,9.0%,-403.0%,26.0%,-628.0%
quatum,IONQ,2026-01-20,NA,224.80,222.0%,1920.0%,166.0%,1909.0%
quatum,RGTI,2026-01-20,NA,1101.12,-18.0%,1255.0%,19.0%,1255.0%
,,,,,,,,
TMT - SAAS,SAP,2026-01-20,33.99,6.41,14.0%,36.0%,19.0%,46.0%
TMT - SAAS,CRM,2026-01-20,29.36,5.11,9.0%,44.0%,17.0%,37.0%
TMT - SAAS,NOW,2026-01-20,75.82,10.28,22.0%,34.0%,37.0%,16.0%
TMT - SAAS,ADBE,2026-01-20,17.38,5.01,10.0%,14.0%,8.0%,10.0%
